S,I,R,S2I,I2R
327270460.0,1242033.0,552432.0,0.0,28986.0
327253540.0,1244711.0,566682.0,2678.0,14250.0
327232130.0,1259414.0,573368.0,14703.0,6686.0
327212130.0,1263036.0,589752.0,3622.0,16384.0
327190750.0,1277655.0,596501.0,14619.0,6749.0
327165440.0,1295394.0,604111.0,17739.0,7610.0
327144030.0,1306959.0,613951.0,11565.0,9840.0
327126370.0,1318662.0,619910.0,11703.0,5959.0
327108860.0,1323502.0,632562.0,4840.0,12652.0
327090500.0,1334600.0,639825.0,11098.0,7263.0
327069540.0,1346003.0,649373.0,11403.0,9548.0
327046500.0,1361403.0,657015.0,15400.0,7642.0
327021600.0,1378403.0,664929.0,17000.0,7914.0
326996350.0,1393678.0,674922.0,15275.0,9993.0
326977300.0,1407174.0,680445.0,13496.0,5523.0
326957820.0,1411729.0,695346.0,4555.0,14901.0
326934180.0,1427432.0,703336.0,15703.0,7990.0
326907650.0,1444512.0,712755.0,17080.0,9419.0
326879800.0,1464747.0,720387.0,20235.0,7632.0
326848830.0,1487466.0,728649.0,22719.0,8262.0
326816900.0,1508032.0,740000.0,20566.0,11351.0
326790940.0,1529034.0,744966.0,21002.0,4966.0
326760260.0,1541261.0,763415.0,12227.0,18449.0
326724030.0,1569277.0,771607.0,28016.0,8192.0
326689600.0,1594334.0,780976.0,25057.0,9369.0
326649250.0,1626744.0,788922.0,32410.0,7946.0
326603900.0,1664229.0,796790.0,37485.0,7868.0
326562560.0,1696587.0,805791.0,32358.0,9001.0
326522140.0,1730862.0,811925.0,34275.0,6134.0
326482080.0,1750502.0,832342.0,19640.0,20417.0
326436100.0,1780406.0,848418.0,29904.0,16076.0
326384640.0,1821839.0,858473.0,41433.0,10055.0
326329020.0,1824731.0,911169.0,2892.0,52696.0
326277200.0,1867479.0,920262.0,42748.0,9093.0
326231650.0,1808838.0,1024452.0,0.0,104190.0
326182050.0,1845691.0,1037179.0,36853.0,12727.0
326137920.0,1872107.0,1054925.0,26416.0,17746.0
326077150.0,1919327.0,1068460.0,47220.0,13535.0
326017400.0,1961218.0,1086309.0,41891.0,17849.0
325954850.0,2007138.0,1102956.0,45920.0,16647.0
325886980.0,2060102.0,1117851.0,52964.0,14895.0
